City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,saipan,15.1355,145.701,300.54,83,0,3.09,MP,1699550169
111,lompoc,34.6391,-120.4579,292.0,55,0,2.68,US,1699550126
112,punta del este,-34.9667,-54.95,294.21,45,0,5.66,UY,1699550453
113,port alfred,-33.5906,26.891,291.58,85,1,1.79,ZA,1699550279
114,lat yao,15.751,99.7893,297.66,91,61,0.98,TH,1699550455
115,egilsstadir,65.2653,-14.3948,275.1,93,75,3.09,IS,1699549910
116,la ronge,55.1001,-105.2842,273.29,86,100,1.54,CA,1699550456
117,rio verde de mato grosso,-18.9181,-54.8442,311.33,25,68,2.87,BR,1699550457
118,shingu,33.7333,135.9833,292.44,85,96,2.52,JP,1699550458
119,enewetak,11.3474,162.3373,301.49,76,100,9.12,MH,1699550459
120,utrik,11.2278,169.8474,300.91,78,96,9.53,MH,1699550194
121,olonkinbyen,70.9221,-8.7187,271.53,69,100,2.99,SJ,1699550182
122,tralee,52.2704,-9.7026,282.29,93,75,6.69,IE,1699550461
123,strezhevoy,60.7333,77.5889,269.24,96,91,4.02,RU,1699550462
124,merizo village,13.2658,144.6691,301.0,94,52,8.32,GU,1699550463
125,dunedin,-45.8742,170.5036,277.34,87,12,1.96,NZ,1699550464
126,margate,51.3813,1.3862,281.43,82,100,3.13,GB,1699550314
127,mogadishu,2.0371,45.3438,301.25,79,73,5.79,SO,1699550465
128,long beach,33.767,-118.1892,297.2,29,0,1.54,US,1699550320
129,cadillac,44.2519,-85.4012,281.37,49,40,7.2,US,1699549754
130,bathsheba,13.2167,-59.5167,302.49,84,40,5.66,BB,1699550468
131,idfu,24.9803,32.8747,303.97,27,3,1.87,EG,1699550469
132,mount pearl,47.5166,-52.7813,279.9,98,100,6.17,CA,1699549945
133,afaahiti,-17.75,-149.2833,295.96,86,81,6.69,PF,1699550225
134,happy valley-goose bay,53.3168,-60.3315,273.32,64,100,4.12,CA,1699550156
135,santa marta,11.2408,-74.199,307.18,64,20,2.57,CO,1699550472
136,finike,36.295,30.1406,293.41,84,49,1.07,TR,1699550472
137,umluj,25.0213,37.2685,303.6,55,3,2.33,SA,1699550474
138,saldanha,-33.0117,17.9442,292.18,78,0,8.22,ZA,1699549943
139,kyren,51.6828,102.1408,258.68,87,2,0.89,RU,1699550476
140,saint-pierre,-21.3393,55.4781,297.97,69,0,2.57,RE,1699550477
141,lebu,-37.6167,-73.65,286.72,68,0,7.94,CL,1699550234
142,anadyr,64.75,177.4833,267.43,79,59,4.0,RU,1699550224
143,tabuk,17.4189,121.4443,296.63,91,90,1.29,PH,1699550479
